22-07-11 11:18:08.934 : Total parameters: 56.71
22-07-11 13:08:41.027 : Epoch[71/2000], Step[100/275], loss: 0.031, PSNR: 26.71
22-07-11 13:09:11.794 : Epoch[71/2000], Step[200/275], loss: 0.028, PSNR: 28.11
22-07-11 13:09:35.959 : Epoch[72/2000], Step[0/275], loss: 0.024, PSNR: 28.96
22-07-11 13:10:06.977 : Epoch[72/2000], Step[100/275], loss: 0.032, PSNR: 26.73
22-07-11 13:10:37.793 : Epoch[72/2000], Step[200/275], loss: 0.033, PSNR: 26.83
22-07-11 13:11:01.966 : Epoch[73/2000], Step[0/275], loss: 0.029, PSNR: 27.93
22-07-11 13:11:32.815 : Epoch[73/2000], Step[100/275], loss: 0.030, PSNR: 27.32
22-07-11 13:12:03.604 : Epoch[73/2000], Step[200/275], loss: 0.028, PSNR: 27.80
22-07-11 13:12:28.465 : Epoch[74/2000], Step[0/275], loss: 0.027, PSNR: 27.86
22-07-11 13:12:59.262 : Epoch[74/2000], Step[100/275], loss: 0.037, PSNR: 25.63
22-07-11 13:13:30.056 : Epoch[74/2000], Step[200/275], loss: 0.033, PSNR: 26.79
22-07-11 13:13:54.462 : Epoch[75/2000], Step[0/275], loss: 0.031, PSNR: 27.48
22-07-11 13:14:25.396 : Epoch[75/2000], Step[100/275], loss: 0.029, PSNR: 28.08
22-07-11 13:14:56.225 : Epoch[75/2000], Step[200/275], loss: 0.027, PSNR: 28.17
22-07-11 13:15:20.474 : Epoch[76/2000], Step[0/275], loss: 0.037, PSNR: 25.85
22-07-11 13:15:51.372 : Epoch[76/2000], Step[100/275], loss: 0.033, PSNR: 26.95
22-07-11 13:16:22.141 : Epoch[76/2000], Step[200/275], loss: 0.032, PSNR: 27.09
22-07-11 13:16:45.896 : Epoch[77/2000], Step[0/275], loss: 0.032, PSNR: 27.18
22-07-11 13:17:17.014 : Epoch[77/2000], Step[100/275], loss: 0.031, PSNR: 27.32
22-07-11 13:17:47.870 : Epoch[77/2000], Step[200/275], loss: 0.029, PSNR: 27.76
22-07-11 13:18:12.031 : Epoch[78/2000], Step[0/275], loss: 0.027, PSNR: 28.15
22-07-11 13:18:42.959 : Epoch[78/2000], Step[100/275], loss: 0.024, PSNR: 29.40
22-07-11 13:19:13.773 : Epoch[78/2000], Step[200/275], loss: 0.040, PSNR: 24.85
